"name";"score"
"org.joda.time.format.PeriodFormatterBuilder.appendSeparator(Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)Lorg/joda/time/format/PeriodFormatterBuilder;";0
"org.joda.time.MonthDay.<init>(J)V";0
"org.joda.time.MutableDateTime$Property.roundHalfFloor()Lorg/joda/time/MutableDateTime;";0
"org.joda.time.format.ISODateTimeFormat.basicWeekDateTimeNoMillis()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.YearMonth.getFieldTypes()[Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.DateTimeZone.getDefaultNameProvider()Lorg/joda/time/tz/NameProvider;";0
"org.joda.time.MutableDateTime.addMonths(I)V";0
"org.joda.time.chrono.StrictChronology.getInstance(Lorg/joda/time/Chronology;)Lorg/joda/time/chrono/StrictChronology;";0
"org.joda.time.convert.ConverterManager.checkAlterPeriodConverters()V";0
"org.joda.time.chrono.CopticChronology.getMaxYear()I";0
"org.joda.time.LocalDateTime$Property.getChronology()Lorg/joda/time/Chronology;";0
"org.joda.time.base.AbstractInstant.toDateTime(Lorg/joda/time/Chronology;)Lorg/joda/time/DateTime;";0
"org.joda.time.DateTime.withFields(Lorg/joda/time/ReadablePartial;)Lorg/joda/time/DateTime;";0
"org.joda.time.format.ISODateTimeFormat.dateOptionalTimeParser()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter.estimateParsedLength()I";0
"org.joda.time.field.BaseDateTimeField.getMaximumShortTextLength(Ljava/util/Locale;)I";0
"org.joda.time.format.DateTimeFormatterBuilder.appendTimeZoneShortName()Lorg/joda/time/format/DateTimeFormatterBuilder;";0
"org.joda.time.field.UnsupportedDateTimeField.getDifferenceAsLong(JJ)J";0
"org.joda.time.field.ScaledDurationField.getScalar()I";0
"org.joda.time.LocalTime.getMillisOfSecond()I";0
"org.joda.time.chrono.LimitChronology$LimitException.<init>(Lorg/joda/time/chrono/LimitChronology;Ljava/lang/String;Z)V";0
"org.joda.time.format.DateTimeFormatterBuilder.appendFractionOfMinute(II)Lorg/joda/time/format/DateTimeFormatterBuilder;";0
"org.joda.time.DateMidnight.<init>(Lorg/joda/time/DateTimeZone;)V";0
"org.joda.time.chrono.IslamicChronology.getDaysInYear(I)I";0
"org.joda.time.tz.DateTimeZoneBuilder.writeMillis(Ljava/io/DataOutput;J)V";0
"org.joda.time.format.DateTimeParserBucket.compareReverse(Lorg/joda/time/DurationField;Lorg/joda/time/DurationField;)I";0
"org.joda.time.DateTimeFieldType.access$100()Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.DateTimeUtils.getInstantChronology(Lorg/joda/time/ReadableInstant;)Lorg/joda/time/Chronology;";0
"org.joda.time.format.DateTimeFormatterBuilder$Fraction.printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;)V";0
"org.joda.time.MutableDateTime$Property.getChronology()Lorg/joda/time/Chronology;";0
"org.joda.time.LocalTime.getSecondOfMinute()I";0
"org.joda.time.format.PeriodFormatterBuilder$SimpleAffix.<init>(Ljava/lang/String;)V";0
"org.joda.time.format.DateTimeParserBucket.access$200(Lorg/joda/time/format/DateTimeParserBucket;)[Lorg/joda/time/format/DateTimeParserBucket$SavedField;";0
